#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
S0C20699_17          -            286 Spore_IV_A           PF09547.5    492   7.2e-05   12.3   0.1   1   1   4.6e-06   0.00011   11.8   0.1   253   346    31   125    26   154 0.87 # 9612 # 10469 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.358
S0C20699_19          -            386 AAA_17               PF13207.1    121   9.6e-07   20.5   0.4   1   1     1e-07   2.4e-06   19.3   0.4     3    77   178   287   178   368 0.56 # 11357 # 12514 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.453
S0C20699_19          -            386 AAA_23               PF13476.1    202   0.00028   12.0   0.1   1   2     0.086         2   -0.5   0.2   105   123    20    41     2   109 0.56 # 11357 # 12514 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.453
S0C20699_19          -            386 AAA_23               PF13476.1    202   0.00028   12.0   0.1   2   2   1.2e-05   0.00028   12.0   0.1    11    37   165   192   162   195 0.76 # 11357 # 12514 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.453
S0C20699_19          -            386 ABC_tran             PF00005.22   137   1.4e-35  113.4   0.0   1   1   1.1e-36   2.6e-35  112.6   0.0     2   137   165   313   164   313 0.88 # 11357 # 12514 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.453
S0C20699_19          -            386 ABC_ATPase           PF09818.4    448   1.1e-05   14.9   0.2   1   1   8.4e-07   1.9e-05   14.1   0.1   300   352   261   314   249   378 0.83 # 11357 # 12514 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.453
S0C20699_19          -            386 AAA_29               PF13555.1     62   3.5e-08   23.8   0.0   1   1   4.7e-09   1.1e-07   22.2   0.0    14    41   166   192   162   198 0.84 # 11357 # 12514 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.453
S0C20699_19          -            386 AAA_16               PF13191.1    185   3.6e-06   17.9   1.0   1   1   6.1e-07   1.4e-05   15.9   1.0    27   178   177   335   161   358 0.57 # 11357 # 12514 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.453
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /tmp/0b963a1f-a8c8-4d01-a6f2-9ebae95a4c47
# Target file:     pmccaffrey6/bins/S0CS0C20699/genes.faa
# Option settings: hmmsearch --domtblout pmccaffrey6/bins/S0CS0C20699/hmmer.analyze.txt --noali --notextw -E 0.1 --domE 0.1 --cpu 1 /tmp/0b963a1f-a8c8-4d01-a6f2-9ebae95a4c47 pmccaffrey6/bins/S0CS0C20699/genes.faa 
# Current dir:     /home/pathinformatics/jupyter_projects/vamb/stanford_cs230_project
# Date:            Mon Mar 15 23:23:55 2021
# [ok]
