#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
S0C5986_2            -             73 CSD                  PF00313.17    66   2.6e-19   59.5   0.3   1   1   1.4e-20   2.9e-19   59.4   0.3     2    62     3    63     2    67 0.97 # 1137 # 1355 # 1 # ID=1_2;partial=00;start_type=TTG;rbs_motif=TTA;rbs_spacer=13bp;gc_cont=0.388
S0C5986_16           -            113 tRNA_Me_trans        PF03054.11   356   5.7e-39  124.2   0.2   1   1   7.1e-40   7.1e-39  123.9   0.2     2    90     8    95     7    98 0.97 # 9877 # 10215 # 1 # ID=1_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
S0C5986_16           -            113 ThiI                 PF02568.9    197   1.8e-09   27.9   0.0   1   1   9.6e-11   1.9e-09   27.8   0.0     2    74     5    77     4   109 0.77 # 9877 # 10215 # 1 # ID=1_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /tmp/1a94df8c-164d-4e5e-9944-65eaf670aaea
# Target file:     pmccaffrey6/bins/S0CS0C5986/genes.faa
# Option settings: hmmsearch --domtblout pmccaffrey6/bins/S0CS0C5986/hmmer.analyze.txt --noali --notextw -E 0.1 --domE 0.1 --cpu 1 /tmp/1a94df8c-164d-4e5e-9944-65eaf670aaea pmccaffrey6/bins/S0CS0C5986/genes.faa 
# Current dir:     /home/pathinformatics/jupyter_projects/vamb/stanford_cs230_project
# Date:            Mon Mar 15 23:24:34 2021
# [ok]
